SalePrice,num_rooms,n_baths,square_meters,neighborhood
335000,3.0,1.0,79.0,Gracia
795000,7.0,3.0,192.0,Gracia
410000,2.0,1.0,76.0,Gracia
259000,1.0,1.0,91.0,Gracia
579000,4.0,2.0,141.0,Gracia
630000,3.0,2.0,185.0,Gracia
249000,2.0,1.0,60.0,Gracia
588000,4.0,2.0,126.0,Gracia
408000,3.0,2.0,81.0,Gracia
179000,3.0,2.0,66.0,Gracia
310000,4.0,1.0,72.0,Gracia
475000,4.0,2.0,124.0,Gracia
232000,2.0,1.0,61.0,Gracia
319000,4.0,2.0,109.0,Gracia
250000,3.0,2.0,89.0,Gracia
455000,2.0,2.0,85.0,Gracia
890000,3.0,2.0,186.0,Gracia
365000,3.0,1.0,84.0,Gracia
255000,2.0,2.0,75.0,Gracia
440000,5.0,2.0,147.0,Gracia
535000,4.0,2.0,127.0,Gracia
232000,2.0,,,Gracia
315000,3.0,1.0,103.0,Gracia
250000,2.0,2.0,72.0,Gracia
320000,1.0,1.0,130.0,Gracia
290000,3.0,2.0,77.0,Gracia
259000,3.0,1.0,65.0,Gracia
498000,4.0,2.0,141.0,Gracia
595000,4.0,1.0,170.0,Gracia
295000,3.0,1.0,84.0,Gracia
430000,1.0,1.0,72.0,Gracia
335000,3.0,2.0,89.0,Gracia
240000,2.0,2.0,85.0,Gracia
260000,3.0,1.0,68.0,Gracia
389000,2.0,2.0,104.0,Gracia
498000,5.0,2.0,141.0,Gracia
480000,3.0,2.0,102.0,Gracia
520000,3.0,2.0,86.0,Gracia
1055000,3.0,2.0,158.0,Gracia
380000,3.0,2.0,80.0,Gracia
445000,2.0,2.0,93.0,Gracia
375000,4.0,2.0,94.0,Gracia
330000,3.0,2.0,86.0,Gracia
260000,1.0,1.0,102.0,Gracia
380000,3.0,2.0,80.0,Gracia
649000,4.0,2.0,155.0,Gracia
395000,3.0,2.0,91.0,Gracia
498000,5.0,2.0,141.0,Gracia
220000,3.0,1.0,78.0,Gracia
498500,4.0,2.0,120.0,Gracia
245000,,,,Gracia
330000,3.0,1.0,75.0,Gracia
995000,4.0,3.0,158.0,Gracia
630000,3.0,2.0,167.0,Gracia
646000,3.0,2.0,83.0,Gracia
475000,4.0,2.0,103.0,Gracia
500000,3.0,2.0,94.0,Gracia
550000,3.0,1.0,232.0,Gracia
252926,1.0,1.0,50.0,Gracia
395000,3.0,2.0,115.0,Gracia
260000,3.0,1.0,82.0,Gracia
350000,3.0,1.0,98.0,Gracia
370000,3.0,2.0,90.0,Gracia
220000,3.0,1.0,70.0,Gracia
180000,2.0,1.0,70.0,Gracia
1700000,5.0,4.0,312.0,Gracia
590000,3.0,2.0,92.0,Gracia
409000,2.0,2.0,60.0,Gracia
179000,3.0,2.0,66.0,Gracia
790000,3.0,2.0,150.0,Gracia
225000,4.0,2.0,100.0,Gracia
417860,2.0,1.0,57.0,Gracia
512000,2.0,2.0,115.0,Gracia
319500,3.0,1.0,,Gracia
