SalePrice,num_rooms,n_baths,square_meters,neighborhood
390000,4,2.0,90.0,Sants
395000,2,1.0,81.0,Sants
161670,1,1.0,40.0,Sants
450000,2,3.0,148.0,Sants
217500,1,1.0,58.0,Sants
213000,2,2.0,61.0,Sants
335000,2,1.0,72.0,Sants
155400,2,1.0,51.0,Sants
395000,2,1.0,81.0,Sants
290000,3,2.0,73.0,Sants
185000,2,1.0,50.0,Sants
449000,4,2.0,90.0,Sants
229000,3,1.0,50.0,Sants
295000,3,1.0,88.0,Sants
415000,3,2.0,104.0,Sants
265000,3,1.0,70.0,Sants
239000,4,1.0,95.0,Sants
289000,4,1.0,85.0,Sants
225000,2,1.0,56.0,Sants
339000,2,1.0,70.0,Sants
255000,3,1.0,70.0,Sants
205000,2,2.0,59.0,Sants
205000,2,1.0,63.0,Sants
255000,3,1.0,70.0,Sants
170000,1,2.0,62.0,Sants
170000,1,1.0,60.0,Sants
189000,2,1.0,67.0,Sants
375000,5,2.0,100.0,Sants
285000,3,1.0,85.0,Sants
445000,3,2.0,92.0,Sants
238000,4,1.0,86.0,Sants
172000,1,1.0,56.0,Sants
215126,2,2.0,73.0,Sants
219900,2,1.0,103.0,Sants
250000,1,1.0,63.0,Sants
197500,2,1.0,71.0,Sants
495000,3,1.0,,Sants
453000,2,2.0,82.0,Sants
215000,2,1.0,51.0,Sants
985000,4,4.0,431.0,Sants
255000,3,1.0,70.0,Sants
420000,3,2.0,107.0,Sants
475000,2,2.0,92.0,Sants
435000,3,2.0,92.0,Sants
226668,2,2.0,60.0,Sants
420000,4,2.0,111.0,Sants
290000,2,2.0,73.0,Sants
269000,3,1.0,75.0,Sants
215126,2,2.0,73.0,Sants
229000,1,1.0,45.0,Sants
180000,2,1.0,48.0,Sants
695000,4,2.0,245.0,Sants
75000,1,1.0,25.0,Sants
346000,3,1.0,73.0,Sants
520000,5,2.0,138.0,Sants
190000,1,1.0,37.0,Sants
215126,2,2.0,73.0,Sants
249000,3,1.0,72.0,Sants
270000,2,1.0,52.0,Sants
435000,3,3.0,107.0,Sants
595000,5,3.0,181.0,Sants
279000,2,1.0,84.0,Sants
259945,3,2.0,70.0,Sants
280000,3,1.0,92.0,Sants
340000,2,1.0,68.0,Sants
430000,3,2.0,92.0,Sants
483000,2,2.0,82.0,Sants
350000,2,2.0,104.0,Sants
350000,2,2.0,103.0,Sants
201000,2,1.0,80.0,Sants
468000,2,2.0,82.0,Sants
283000,3,2.0,77.0,Sants
490000,3,2.0,107.0,Sants
310000,2,2.0,97.0,Sants
279000,2,2.0,73.0,Sants
180000,2,1.0,48.0,Sants
750000,4,3.0,350.0,Sants
375000,4,1.0,84.0,Sants
395000,2,1.0,81.0,Sants
279000,2,1.0,83.0,Sants
279000,2,2.0,73.0,Sants
192500,3,1.0,66.0,Sants
420000,4,2.0,111.0,Sants
340000,2,1.0,68.0,Sants
300000,1,1.0,50.0,Sants
550000,1,,,Sants
329000,3,2.0,107.0,Sants
226000,3,1.0,84.0,Sants
299000,3,2.0,89.0,Sants
335000,3,1.0,80.0,Sants
180000,2,1.0,48.0,Sants
280000,2,1.0,65.0,Sants
249000,3,1.0,80.0,Sants
299000,3,2.0,89.0,Sants
299000,3,2.0,70.0,Sants
290000,3,1.0,63.0,Sants
279000,2,2.0,77.0,Sants
164000,2,1.0,54.0,Sants
215000,2,1.0,51.0,Sants
445000,3,1.0,84.0,Sants
445000,2,1.0,85.0,Sants
197500,2,1.0,71.0,Sants
265000,4,1.0,76.0,Sants
498800,3,2.0,77.0,Sants
599000,4,3.0,133.0,Sants
395000,2,1.0,60.0,Sants
340000,2,2.0,72.0,Sants
255000,3,1.0,70.0,Sants
395000,2,1.0,80.0,Sants
270000,3,1.0,86.0,Sants
269000,3,1.0,75.0,Sants
420000,4,2.0,110.0,Sants
390000,4,2.0,100.0,Sants
269000,3,1.0,75.0,Sants
985000,3,2.0,422.0,Sants
340000,3,2.0,67.0,Sants
295000,2,2.0,73.0,Sants
260000,3,2.0,77.0,Sants
169900,2,1.0,39.0,Sants
265000,4,1.0,76.0,Sants
215000,1,1.0,62.0,Sants
249000,3,1.0,85.0,Sants
279000,3,1.0,84.0,Sants
120000,2,1.0,50.0,Sants
269000,3,1.0,75.0,Sants
230000,2,1.0,50.0,Sants
270000,3,3.0,80.0,Sants
295000,2,1.0,60.0,Sants
259000,1,1.0,60.0,Sants
299000,3,2.0,70.0,Sants
193500,3,1.0,62.0,Sants
415000,3,2.0,92.0,Sants
415000,3,2.0,92.0,Sants
350000,4,2.0,100.0,Sants
189000,2,1.0,67.0,Sants
215000,1,1.0,65.0,Sants
265000,4,1.0,76.0,Sants
215000,1,1.0,65.0,Sants
140000,2,1.0,42.0,Sants
279000,2,1.0,83.0,Sants
299000,3,2.0,70.0,Sants
180000,2,1.0,48.0,Sants
279000,2,2.0,73.0,Sants
279000,2,2.0,73.0,Sants
350000,2,2.0,104.0,Sants
165000,2,1.0,55.0,Sants
279000,2,2.0,73.0,Sants
299000,3,2.0,70.0,Sants
279000,2,2.0,73.0,Sants
199000,1,,,Sants
390000,4,2.0,100.0,Sants
290000,4,2.0,86.0,Sants
230000,3,1.0,72.0,Sants
279000,2,2.0,73.0,Sants
279000,2,2.0,73.0,Sants
295000,3,2.0,78.0,Sants
189000,1,,,Sants
825000,3,2.0,140.0,Sants
345000,2,2.0,90.0,Sants
225000,2,1.0,55.0,Sants
170000,1,2.0,62.0,Sants
399000,3,2.0,107.0,Sants
