SalePrice,num_rooms,n_baths,square_meters,neighborhood
7450000,10.0,6.0,1800.0,Sarria
2200000,4.0,3.0,272.0,Sarria
2280000,6.0,4.0,270.0,Sarria
480000,3.0,1.0,68.0,Sarria
2227800,5.0,3.0,269.0,Sarria
1378000,3.0,3.0,190.0,Sarria
1295000,3.0,2.0,142.0,Sarria
2315500,5.0,4.0,238.0,Sarria
280000,2.0,1.0,60.0,Sarria
1819500,4.0,3.0,230.0,Sarria
7450000,7.0,15.0,,Sarria
580000,3.0,2.0,108.0,Sarria
500000,3.0,1.0,68.0,Sarria
1280000,4.0,2.0,182.0,Sarria
2200000,4.0,3.0,224.0,Sarria
500000,3.0,1.0,68.0,Sarria
1300000,5.0,4.0,168.0,Sarria
2950000,7.0,,,Sarria
795000,6.0,3.0,182.0,Sarria
1500000,5.0,3.0,216.0,Sarria
1700000,2.0,,,Sarria
310000,3.0,1.0,60.0,Sarria
840000,4.0,2.0,163.0,Sarria
950000,2.0,2.0,96.0,Sarria
480000,2.0,1.0,98.0,Sarria
950000,4.0,2.0,147.0,Sarria
1800000,4.0,4.0,240.0,Sarria
500000,3.0,1.0,68.0,Sarria
1500000,4.0,3.0,216.0,Sarria
2300000,5.0,4.0,247.0,Sarria
790000,3.0,2.0,125.0,Sarria
360000,4.0,2.0,88.0,Sarria
720000,3.0,4.0,125.0,Sarria
1950000,5.0,3.0,284.0,Sarria
730000,4.0,1.0,114.0,Sarria
448250,1.0,1.0,48.0,Sarria
598250,2.0,2.0,66.0,Sarria
1281000,2.0,2.0,125.0,Sarria
1985000,5.0,4.0,213.0,Sarria
1756000,2.0,2.0,126.0,Sarria
580000,3.0,1.0,108.0,Sarria
2390000,6.0,3.0,340.0,Sarria
2296500,5.0,3.0,224.0,Sarria
1506000,3.0,3.0,161.0,Sarria
310000,3.0,1.0,70.0,Sarria
1500000,4.0,3.0,208.0,Sarria
331600,1.0,1.0,39.0,Sarria
2950000,6.0,6.0,674.0,Sarria
580000,3.0,1.0,87.0,Sarria
699000,4.0,3.0,150.0,Sarria
445000,2.0,1.0,86.0,Sarria
500000,3.0,1.0,68.0,Sarria
2950000,5.0,4.0,675.0,Sarria
1050000,3.0,3.0,140.0,Sarria
580000,3.0,1.0,108.0,Sarria
1150000,5.0,3.0,376.0,Sarria
699000,4.0,3.0,150.0,Sarria
485000,3.0,2.0,102.0,Sarria
720000,3.0,4.0,125.0,Sarria
2315500,5.0,4.0,190.0,Sarria
1140000,4.0,3.0,160.0,Sarria
900000,3.0,2.0,146.0,Sarria
2950000,6.0,5.0,674.0,Sarria
1700000,7.0,6.0,279.0,Sarria
325000,3.0,2.0,71.0,Sarria
1590000,4.0,3.0,193.0,Sarria
1378000,3.0,3.0,158.0,Sarria
1800000,4.0,3.0,215.0,Sarria
2950000,5.0,6.0,550.0,Sarria
2950000,6.0,6.0,675.0,Sarria
900000,3.0,2.0,146.0,Sarria
500000,3.0,1.0,58.0,Sarria
525000,2.0,1.0,68.0,Sarria
310000,3.0,1.0,70.0,Sarria
1200000,4.0,2.0,182.0,Sarria
950000,2.0,2.0,120.0,Sarria
1410000,3.0,3.0,158.0,Sarria
525000,3.0,1.0,68.0,Sarria
3200000,6.0,6.0,674.0,Sarria
3500000,6.0,6.0,620.0,Sarria
1200000,4.0,2.0,195.0,Sarria
1415000,4.0,2.0,175.0,Sarria
3300000,6.0,6.0,480.0,Sarria
525000,3.0,1.0,68.0,Sarria
2300000,3.0,3.0,213.0,Sarria
500000,3.0,1.0,58.0,Sarria
3400000,6.0,6.0,480.0,Sarria
310000,3.0,1.0,70.0,Sarria
2200000,3.0,3.0,225.0,Sarria
580000,3.0,1.0,108.0,Sarria
425000,2.0,1.0,83.0,Sarria
1590000,5.0,2.0,268.0,Sarria
310000,3.0,1.0,70.0,Sarria
435000,2.0,2.0,80.0,Sarria
1500000,5.0,3.0,343.0,Sarria
310000,3.0,1.0,70.0,Sarria
2500000,6.0,4.0,350.0,Sarria
1283000,4.0,3.0,154.0,Sarria
2950000,5.0,5.0,555.0,Sarria
310000,3.0,1.0,70.0,Sarria
910000,5.0,3.0,129.0,Sarria
750000,5.0,3.0,145.0,Sarria
699000,4.0,3.0,230.0,Sarria
1335500,3.0,2.0,142.0,Sarria
325000,1.0,1.0,57.0,Sarria
2950000,15.0,8.0,779.0,Sarria
650000,3.0,1.0,103.0,Sarria
900000,3.0,2.0,112.0,Sarria
310000,3.0,1.0,70.0,Sarria
1253000,4.0,3.0,154.0,Sarria
1253000,4.0,3.0,154.0,Sarria
525000,3.0,1.0,68.0,Sarria
310000,3.0,1.0,70.0,Sarria
550000,2.0,1.0,73.0,Sarria
1280000,4.0,2.0,182.0,Sarria
2950000,5.0,5.0,550.0,Sarria
1800000,4.0,3.0,230.0,Sarria
1253000,3.0,3.0,133.0,Sarria
465000,3.0,1.0,88.0,Sarria
500000,3.0,1.0,68.0,Sarria
900000,3.0,2.0,112.0,Sarria
900000,3.0,2.0,146.0,Sarria
985000,4.0,3.0,180.0,Sarria
900000,3.0,2.0,146.0,Sarria
900000,3.0,2.0,146.0,Sarria
900000,3.0,2.0,102.0,Sarria
2500000,6.0,4.0,300.0,Sarria
750000,3.0,4.0,125.0,Sarria
1950000,5.0,4.0,282.0,Sarria
1900000,5.0,4.0,320.0,Sarria
1590000,4.0,2.0,227.0,Sarria
1253000,3.0,3.0,133.0,Sarria
1700000,4.0,4.0,200.0,Sarria
1500000,5.0,3.0,220.0,Sarria
1545000,4.0,3.0,193.0,Sarria
500000,3.0,1.0,68.0,Sarria
310000,,,,Sarria
830000,5.0,3.0,166.0,Sarria
385000,1.0,1.0,65.0,Sarria
585000,3.0,1.0,90.0,Sarria
310000,3.0,1.0,70.0,Sarria
790000,3.0,2.0,116.0,Sarria
5500000,7.0,7.0,769.0,Sarria
3800000,5.0,6.0,545.0,Sarria
2280000,4.0,4.0,600.0,Sarria
1500000,4.0,3.0,200.0,Sarria
1500000,4.0,3.0,200.0,Sarria
360000,1.0,1.0,54.0,Sarria
690000,2.0,1.0,84.0,Sarria
310000,3.0,1.0,70.0,Sarria
950000,3.0,2.0,147.0,Sarria
500000,3.0,1.0,68.0,Sarria
310000,3.0,1.0,70.0,Sarria
245000,1.0,,,Sarria
2500000,6.0,4.0,300.0,Sarria
1950000,5.0,5.0,320.0,Sarria
450000,3.0,2.0,100.0,Sarria
1800000,5.0,5.0,315.0,Sarria
266000,1.0,1.0,50.0,Sarria
425000,1.0,1.0,59.0,Sarria
500000,3.0,1.0,68.0,Sarria
310000,3.0,1.0,70.0,Sarria
1470000,4.0,4.0,190.0,Sarria
580000,3.0,1.0,101.0,Sarria
2950000,6.0,6.0,674.0,Sarria
790000,3.0,2.0,125.0,Sarria
1253000,3.0,3.0,133.0,Sarria
1500000,4.0,3.0,216.0,Sarria
2950000,6.0,6.0,454.0,Sarria
698000,4.0,2.0,153.0,Sarria
795000,6.0,3.0,160.0,Sarria
339000,3.0,1.0,71.0,Sarria
1470000,4.0,4.0,200.0,Sarria
695000,3.0,2.0,109.0,Sarria
2500000,6.0,4.0,321.0,Sarria
500000,3.0,1.0,68.0,Sarria
795000,5.0,3.0,160.0,Sarria
500000,3.0,1.0,68.0,Sarria
500000,3.0,1.0,68.0,Sarria
580000,1.0,,,Sarria
585000,3.0,1.0,8.0,Sarria
1950000,5.0,5.0,320.0,Sarria
395000,1.0,1.0,72.0,Sarria
500000,3.0,1.0,68.0,Sarria
650000,4.0,1.0,114.0,Sarria
698000,4.0,2.0,153.0,Sarria
580000,3.0,2.0,108.0,Sarria
1500000,5.0,3.0,189.0,Sarria
950000,3.0,2.0,147.0,Sarria
699000,4.0,3.0,150.0,Sarria
355000,3.0,1.0,73.0,Sarria
1140000,4.0,3.0,167.0,Sarria
945000,2.0,1.0,230.0,Sarria
995000,4.0,3.0,160.0,Sarria
385000,1.0,1.0,66.0,Sarria
629000,2.0,2.0,86.0,Sarria
1500000,5.0,3.0,216.0,Sarria
1650000,3.0,3.0,300.0,Sarria
310000,3.0,1.0,70.0,Sarria
310000,3.0,1.0,70.0,Sarria
975000,3.0,3.0,170.0,Sarria
310000,3.0,1.0,70.0,Sarria
310000,3.0,1.0,62.0,Sarria
629000,2.0,2.0,86.0,Sarria
427250,1.0,1.0,48.0,Sarria
435000,2.0,1.0,73.0,Sarria
1750000,3.0,5.0,380.0,Sarria
310000,2.0,1.0,58.0,Sarria
525000,3.0,3.0,120.0,Sarria
7450000,8.0,9.0,1700.0,Sarria
795000,5.0,3.0,157.0,Sarria
825000,3.0,2.0,145.0,Sarria
590000,2.0,1.0,,Sarria
245000,1.0,1.0,45.0,Sarria
1650000,4.0,4.0,190.0,Sarria
755000,3.0,3.0,150.0,Sarria
300000,3.0,1.0,106.0,Sarria
620000,3.0,1.0,90.0,Sarria
1140000,5.0,3.0,170.0,Sarria
385000,1.0,1.0,60.0,Sarria
270000,2.0,2.0,81.0,Nou Barris
145000,3.0,1.0,74.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
94500,3.0,1.0,60.0,Nou Barris
184000,3.0,1.0,63.0,Nou Barris
270000,3.0,1.0,90.0,Nou Barris
90000,2.0,1.0,70.0,Nou Barris
149000,3.0,1.0,74.0,Nou Barris
135000,3.0,1.0,61.0,Nou Barris
175000,3.0,1.0,56.0,Nou Barris
222990,3.0,1.0,73.0,Nou Barris
140500,3.0,1.0,84.0,Nou Barris
109000,2.0,1.0,67.0,Nou Barris
145000,4.0,1.0,81.0,Nou Barris
345000,4.0,1.0,105.0,Nou Barris
152000,3.0,1.0,65.0,Nou Barris
159900,1.0,1.0,50.0,Nou Barris
126000,3.0,1.0,68.0,Nou Barris
185000,3.0,1.0,68.0,Nou Barris
180000,3.0,1.0,85.0,Nou Barris
77500,1.0,1.0,59.0,Nou Barris
72000,2.0,1.0,46.0,Nou Barris
181000,3.0,2.0,91.0,Nou Barris
230000,3.0,1.0,73.0,Nou Barris
635000,3.0,2.0,119.0,Nou Barris
330000,3.0,2.0,109.0,Nou Barris
85000,2.0,1.0,45.0,Nou Barris
160000,2.0,1.0,50.0,Nou Barris
145000,4.0,2.0,100.0,Nou Barris
129999,3.0,1.0,50.0,Nou Barris
139900,3.0,1.0,75.0,Nou Barris
171000,,,,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
178000,3.0,1.0,80.0,Nou Barris
119000,3.0,1.0,78.0,Nou Barris
149900,3.0,1.0,65.0,Nou Barris
166000,3.0,1.0,82.0,Nou Barris
99000,3.0,1.0,45.0,Nou Barris
135000,3.0,1.0,58.0,Nou Barris
165000,3.0,1.0,94.0,Nou Barris
289500,3.0,2.0,101.0,Nou Barris
140000,3.0,1.0,60.0,Nou Barris
145000,3.0,1.0,99.0,Nou Barris
139700,3.0,1.0,88.0,Nou Barris
270000,2.0,1.0,52.0,Nou Barris
165000,3.0,1.0,90.0,Nou Barris
55000,2.0,1.0,50.0,Nou Barris
398000,4.0,2.0,104.0,Nou Barris
270000,3.0,2.0,79.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
122000,3.0,1.0,70.0,Nou Barris
160000,3.0,1.0,59.0,Nou Barris
149000,2.0,1.0,64.0,Nou Barris
175000,3.0,1.0,58.0,Nou Barris
101000,3.0,1.0,83.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
96000,3.0,1.0,50.0,Nou Barris
269000,4.0,2.0,90.0,Nou Barris
144000,3.0,1.0,63.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
191100,3.0,1.0,61.0,Nou Barris
199500,3.0,1.0,100.0,Nou Barris
148000,3.0,1.0,75.0,Nou Barris
220000,4.0,1.0,72.0,Nou Barris
87480,2.0,1.0,45.0,Nou Barris
119000,3.0,1.0,51.0,Nou Barris
83000,3.0,1.0,55.0,Nou Barris
91500,3.0,1.0,68.0,Nou Barris
255000,4.0,1.0,74.0,Nou Barris
180000,3.0,1.0,85.0,Nou Barris
370000,3.0,2.0,101.0,Nou Barris
72500,1.0,1.0,35.0,Nou Barris
250000,3.0,2.0,91.0,Nou Barris
184000,3.0,1.0,75.0,Nou Barris
207000,3.0,1.0,69.0,Nou Barris
139000,3.0,1.0,70.0,Nou Barris
215000,3.0,1.0,66.0,Nou Barris
260000,3.0,1.0,83.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
175000,3.0,1.0,64.0,Nou Barris
175000,3.0,1.0,79.0,Nou Barris
133400,1.0,1.0,55.0,Nou Barris
170000,3.0,1.0,88.0,Nou Barris
183000,3.0,1.0,83.0,Nou Barris
230000,2.0,1.0,79.0,Nou Barris
198000,1.0,1.0,58.0,Nou Barris
140000,3.0,1.0,65.0,Nou Barris
259900,4.0,2.0,95.0,Nou Barris
166000,2.0,1.0,67.0,Nou Barris
140000,3.0,1.0,65.0,Nou Barris
215000,3.0,1.0,60.0,Nou Barris
279000,3.0,2.0,85.0,Nou Barris
260000,3.0,1.0,83.0,Nou Barris
225000,3.0,1.0,62.0,Nou Barris
128000,3.0,1.0,67.0,Nou Barris
231000,3.0,1.0,91.0,Nou Barris
255000,4.0,1.0,91.0,Nou Barris
285000,5.0,2.0,218.0,Nou Barris
198500,3.0,1.0,72.0,Nou Barris
139000,3.0,1.0,70.0,Nou Barris
259000,4.0,2.0,140.0,Nou Barris
118700,,,,Nou Barris
89000,3.0,1.0,79.0,Nou Barris
260000,3.0,2.0,83.0,Nou Barris
135500,3.0,1.0,65.0,Nou Barris
159500,3.0,1.0,60.0,Nou Barris
139000,3.0,1.0,69.0,Nou Barris
180000,3.0,1.0,85.0,Nou Barris
193000,3.0,1.0,59.0,Nou Barris
178000,3.0,1.0,61.0,Nou Barris
150000,3.0,1.0,56.0,Nou Barris
170000,3.0,1.0,64.0,Nou Barris
128000,3.0,1.0,59.0,Nou Barris
114500,3.0,1.0,55.0,Nou Barris
230000,2.0,1.0,54.0,Nou Barris
141000,3.0,1.0,51.0,Nou Barris
103000,3.0,1.0,58.0,Nou Barris
175000,1.0,1.0,50.0,Nou Barris
135000,2.0,1.0,40.0,Nou Barris
185000,2.0,1.0,51.0,Nou Barris
106000,2.0,1.0,50.0,Nou Barris
114500,2.0,1.0,56.0,Nou Barris
137500,2.0,1.0,73.0,Nou Barris
260000,3.0,2.0,81.0,Nou Barris
178000,2.0,1.0,55.0,Nou Barris
79900,2.0,1.0,40.0,Nou Barris
239000,3.0,1.0,92.0,Nou Barris
225000,3.0,1.0,62.0,Nou Barris
149500,2.0,1.0,61.0,Nou Barris
149500,2.0,1.0,61.0,Nou Barris
190000,3.0,1.0,74.0,Nou Barris
135500,3.0,1.0,70.0,Nou Barris
145000,3.0,1.0,99.0,Nou Barris
168000,3.0,1.0,82.0,Nou Barris
160000,3.0,1.0,65.0,Nou Barris
205000,3.0,1.0,67.0,Nou Barris
215000,3.0,1.0,66.0,Nou Barris
215000,3.0,1.0,60.0,Nou Barris
159000,3.0,1.0,60.0,Nou Barris
149000,2.0,1.0,64.0,Nou Barris
102500,2.0,1.0,50.0,Nou Barris
164500,3.0,1.0,76.0,Nou Barris
285000,,,,Nou Barris
175000,3.0,1.0,57.0,Nou Barris
139000,3.0,1.0,70.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
175000,1.0,1.0,50.0,Nou Barris
142000,3.0,1.0,79.0,Nou Barris
225000,2.0,1.0,75.0,Nou Barris
198000,3.0,1.0,70.0,Nou Barris
114900,3.0,1.0,63.0,Nou Barris
230000,3.0,1.0,78.0,Nou Barris
160000,2.0,1.0,60.0,Nou Barris
179900,4.0,2.0,120.0,Nou Barris
270000,6.0,2.0,205.0,Nou Barris
80000,3.0,1.0,51.0,Nou Barris
132500,2.0,1.0,67.0,Nou Barris
130000,1.0,1.0,82.0,Nou Barris
230000,2.0,1.0,79.0,Nou Barris
162900,3.0,2.0,64.0,Nou Barris
229000,3.0,1.0,70.0,Nou Barris
249800,3.0,2.0,95.0,Nou Barris
249500,3.0,2.0,80.0,Nou Barris
157500,3.0,1.0,73.0,Nou Barris
163000,3.0,1.0,70.0,Nou Barris
239000,3.0,1.0,92.0,Nou Barris
395000,3.0,2.0,90.0,Nou Barris
245000,4.0,2.0,79.0,Nou Barris
130000,2.0,1.0,62.0,Nou Barris
225000,2.0,1.0,70.0,Nou Barris
260000,3.0,2.0,81.0,Nou Barris
239000,3.0,1.0,86.0,Nou Barris
165040,3.0,1.0,66.0,Nou Barris
280000,3.0,1.0,84.0,Nou Barris
128000,3.0,1.0,59.0,Nou Barris
245000,4.0,2.0,79.0,Nou Barris
120000,3.0,1.0,51.0,Nou Barris
100000,2.0,1.0,51.0,Nou Barris
126000,3.0,1.0,72.0,Nou Barris
190000,2.0,1.0,70.0,Nou Barris
193000,3.0,1.0,68.0,Nou Barris
205000,3.0,1.0,73.0,Nou Barris
190000,3.0,1.0,79.0,Nou Barris
177000,2.0,1.0,90.0,Nou Barris
214000,3.0,1.0,95.0,Nou Barris
205000,3.0,1.0,67.0,Nou Barris
125000,3.0,1.0,65.0,Nou Barris
141000,2.0,1.0,65.0,Nou Barris
189900,3.0,2.0,104.0,Nou Barris
99000,3.0,1.0,66.0,Nou Barris
119500,3.0,1.0,49.0,Nou Barris
200000,2.0,2.0,85.0,Nou Barris
245000,3.0,1.0,92.0,Nou Barris
157500,3.0,1.0,73.0,Nou Barris
350000,4.0,3.0,101.0,Nou Barris
102500,2.0,1.0,50.0,Nou Barris
124000,3.0,1.0,68.0,Nou Barris
100000,2.0,1.0,50.0,Nou Barris
169000,3.0,1.0,67.0,Nou Barris
160000,3.0,1.0,73.0,Nou Barris
199000,4.0,2.0,112.0,Nou Barris
45000,2.0,1.0,71.0,Nou Barris
80000,3.0,1.0,50.0,Nou Barris
180000,3.0,1.0,85.0,Nou Barris
280000,2.0,2.0,126.0,Nou Barris
145000,3.0,1.0,99.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
245000,4.0,2.0,79.0,Nou Barris
289500,3.0,1.0,101.0,Nou Barris
126000,3.0,1.0,60.0,Nou Barris
129000,3.0,1.0,60.0,Nou Barris
245000,3.0,1.0,86.0,Nou Barris
175000,1.0,1.0,50.0,Nou Barris
180000,3.0,1.0,88.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
190000,2.0,1.0,71.0,Nou Barris
220000,3.0,2.0,75.0,Nou Barris
115000,3.0,1.0,69.0,Nou Barris
160000,3.0,1.0,55.0,Nou Barris
140000,3.0,1.0,60.0,Nou Barris
144000,3.0,1.0,80.0,Nou Barris
250000,3.0,2.0,130.0,Nou Barris
140000,3.0,1.0,65.0,Nou Barris
171000,3.0,2.0,48.0,Nou Barris
175000,3.0,2.0,49.0,Nou Barris
170000,3.0,2.0,46.0,Nou Barris
347000,3.0,2.0,90.0,Nou Barris
126000,3.0,1.0,58.0,Nou Barris
239000,3.0,1.0,92.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
209000,3.0,1.0,126.0,Nou Barris
169000,2.0,2.0,86.0,Nou Barris
279500,3.0,2.0,101.0,Nou Barris
175000,2.0,1.0,75.0,Nou Barris
220000,2.0,1.0,79.0,Nou Barris
96000,3.0,1.0,64.0,Nou Barris
220000,2.0,1.0,63.0,Nou Barris
420000,2.0,2.0,86.0,Nou Barris
315000,2.0,2.0,74.0,Nou Barris
220000,3.0,2.0,109.0,Nou Barris
144000,4.0,1.0,80.0,Nou Barris
230000,2.0,1.0,79.0,Nou Barris
176000,3.0,1.0,66.0,Nou Barris
119000,2.0,1.0,44.0,Nou Barris
135000,1.0,1.0,52.0,Nou Barris
99000,2.0,1.0,50.0,Nou Barris
340000,3.0,2.0,103.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
124900,,,,Nou Barris
279500,3.0,2.0,101.0,Nou Barris
135000,3.0,1.0,64.0,Nou Barris
95000,3.0,1.0,59.0,Nou Barris
245000,4.0,2.0,79.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
144000,3.0,1.0,80.0,Nou Barris
120500,2.0,1.0,47.0,Nou Barris
130000,2.0,1.0,51.0,Nou Barris
129990,1.0,1.0,42.0,Nou Barris
113500,3.0,1.0,51.0,Nou Barris
145000,3.0,1.0,73.0,Nou Barris
279500,3.0,2.0,101.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
170000,3.0,1.0,88.0,Nou Barris
231000,3.0,1.0,91.0,Nou Barris
99000,3.0,1.0,67.0,Nou Barris
160000,3.0,1.0,73.0,Nou Barris
120000,3.0,1.0,74.0,Nou Barris
82000,3.0,1.0,59.0,Nou Barris
190000,3.0,1.0,80.0,Nou Barris
113000,2.0,1.0,53.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
184000,3.0,1.0,64.0,Nou Barris
169900,3.0,1.0,70.0,Nou Barris
260000,3.0,1.0,83.0,Nou Barris
111000,3.0,1.0,67.0,Nou Barris
269000,3.0,1.0,80.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
120500,2.0,1.0,57.0,Nou Barris
168500,3.0,1.0,66.0,Nou Barris
148000,3.0,1.0,64.0,Nou Barris
225000,2.0,1.0,70.0,Nou Barris
229000,3.0,1.0,94.0,Nou Barris
260000,3.0,1.0,82.0,Nou Barris
149000,3.0,1.0,71.0,Nou Barris
175000,3.0,1.0,66.0,Nou Barris
247000,3.0,2.0,89.0,Nou Barris
170000,3.0,1.0,96.0,Nou Barris
132500,2.0,1.0,58.0,Nou Barris
129000,2.0,1.0,54.0,Nou Barris
178000,2.0,1.0,55.0,Nou Barris
140000,3.0,1.0,65.0,Nou Barris
126000,3.0,1.0,60.0,Nou Barris
114000,3.0,1.0,55.0,Nou Barris
190000,4.0,1.0,91.0,Nou Barris
159000,3.0,1.0,66.0,Nou Barris
189000,1.0,1.0,71.0,Nou Barris
145000,3.0,1.0,60.0,Nou Barris
230000,3.0,1.0,97.0,Nou Barris
125000,2.0,1.0,50.0,Nou Barris
105200,4.0,1.0,78.0,Nou Barris
156000,3.0,1.0,58.0,Nou Barris
120000,3.0,1.0,60.0,Nou Barris
129900,2.0,1.0,60.0,Nou Barris
285000,3.0,2.0,92.0,Nou Barris
159000,3.0,1.0,71.0,Nou Barris
157000,3.0,1.0,64.0,Nou Barris
155000,3.0,1.0,75.0,Nou Barris
269000,4.0,2.0,140.0,Nou Barris
330000,3.0,2.0,109.0,Nou Barris
139000,3.0,1.0,53.0,Nou Barris
145000,,,,Nou Barris
215000,3.0,1.0,66.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
195000,4.0,1.0,73.0,Nou Barris
230000,3.0,1.0,84.0,Nou Barris
380000,4.0,2.0,105.0,Nou Barris
91000,3.0,1.0,59.0,Nou Barris
149000,2.0,1.0,65.0,Nou Barris
202700,2.0,1.0,63.0,Nou Barris
185000,3.0,1.0,50.0,Nou Barris
85000,1.0,1.0,46.0,Nou Barris
185000,3.0,1.0,61.0,Nou Barris
126000,3.0,1.0,51.0,Nou Barris
137500,2.0,1.0,55.0,Nou Barris
193000,3.0,1.0,69.0,Nou Barris
105000,3.0,1.0,64.0,Nou Barris
200000,3.0,1.0,72.0,Nou Barris
145000,3.0,1.0,69.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
82000,3.0,1.0,57.0,Nou Barris
249000,3.0,1.0,65.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
279900,4.0,2.0,101.0,Nou Barris
470800,6.0,4.0,776.0,Nou Barris
156500,3.0,1.0,67.0,Nou Barris
120000,3.0,1.0,58.0,Nou Barris
138000,2.0,1.0,43.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
163000,3.0,1.0,65.0,Nou Barris
178000,2.0,1.0,55.0,Nou Barris
91000,3.0,1.0,59.0,Nou Barris
215000,3.0,1.0,60.0,Nou Barris
280000,2.0,1.0,66.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
207000,3.0,1.0,69.0,Nou Barris
249000,3.0,2.0,76.0,Nou Barris
177000,3.0,1.0,75.0,Nou Barris
139000,3.0,1.0,70.0,Nou Barris
168500,3.0,1.0,66.0,Nou Barris
140000,3.0,1.0,60.0,Nou Barris
200000,4.0,1.0,72.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
209000,3.0,1.0,66.0,Nou Barris
135000,3.0,1.0,69.0,Nou Barris
124000,2.0,1.0,58.0,Nou Barris
245000,4.0,2.0,71.0,Nou Barris
137200,2.0,1.0,62.0,Nou Barris
90000,3.0,1.0,58.0,Nou Barris
125000,3.0,1.0,58.0,Nou Barris
158000,3.0,1.0,60.0,Nou Barris
133000,3.0,1.0,63.0,Nou Barris
256000,3.0,1.0,87.0,Nou Barris
259000,4.0,2.0,131.0,Nou Barris
177000,3.0,1.0,75.0,Nou Barris
259000,4.0,2.0,131.0,Nou Barris
234000,3.0,1.0,71.0,Nou Barris
296000,2.0,2.0,84.0,Nou Barris
131500,2.0,1.0,73.0,Nou Barris
156500,3.0,1.0,67.0,Nou Barris
159000,3.0,1.0,60.0,Nou Barris
184000,3.0,1.0,68.0,Nou Barris
215000,3.0,1.0,60.0,Nou Barris
91000,2.0,1.0,47.0,Nou Barris
89000,1.0,,,Nou Barris
115500,2.0,1.0,50.0,Nou Barris
122000,2.0,1.0,58.0,Nou Barris
171000,3.0,1.0,65.0,Nou Barris
115000,3.0,1.0,69.0,Nou Barris
119900,3.0,1.0,60.0,Nou Barris
185000,2.0,1.0,56.0,Nou Barris
178000,2.0,1.0,55.0,Nou Barris
217000,3.0,1.0,72.0,Nou Barris
128000,3.0,1.0,67.0,Nou Barris
101500,2.0,1.0,50.0,Nou Barris
377400,2.0,2.0,70.0,Nou Barris
100000,2.0,1.0,59.0,Nou Barris
114000,3.0,1.0,55.0,Nou Barris
347000,3.0,2.0,82.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
141000,3.0,1.0,51.0,Nou Barris
250000,3.0,2.0,125.0,Nou Barris
137500,2.0,1.0,74.0,Nou Barris
180000,3.0,1.0,60.0,Nou Barris
139900,2.0,1.0,75.0,Nou Barris
230000,2.0,1.0,79.0,Nou Barris
168500,3.0,1.0,66.0,Nou Barris
180000,3.0,1.0,85.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
93000,1.0,1.0,33.0,Nou Barris
183000,3.0,1.0,83.0,Nou Barris
250000,3.0,1.0,100.0,Nou Barris
126000,3.0,1.0,60.0,Nou Barris
169000,2.0,1.0,67.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
250000,3.0,1.0,84.0,Nou Barris
215000,3.0,1.0,60.0,Nou Barris
220000,3.0,1.0,68.0,Nou Barris
175000,3.0,1.0,91.0,Nou Barris
139000,3.0,1.0,70.0,Nou Barris
191000,2.0,1.0,62.0,Nou Barris
183000,4.0,1.0,91.0,Nou Barris
279900,4.0,2.0,101.0,Nou Barris
495000,7.0,3.0,311.0,Nou Barris
185000,2.0,1.0,56.0,Nou Barris
125000,2.0,1.0,46.0,Nou Barris
265000,4.0,1.0,83.0,Nou Barris
260000,4.0,1.0,91.0,Nou Barris
184000,3.0,1.0,68.0,Nou Barris
210000,3.0,1.0,68.0,Nou Barris
96000,3.0,1.0,65.0,Nou Barris
155000,3.0,1.0,66.0,Nou Barris
101000,3.0,1.0,83.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
250000,3.0,1.0,60.0,Nou Barris
380000,4.0,2.0,104.0,Nou Barris
247000,3.0,1.0,82.0,Nou Barris
187000,3.0,1.0,54.0,Nou Barris
178000,2.0,1.0,55.0,Nou Barris
122500,3.0,1.0,68.0,Nou Barris
130000,3.0,1.0,70.0,Nou Barris
191000,2.0,1.0,58.0,Nou Barris
125000,2.0,1.0,64.0,Nou Barris
